ID,Category,Question,Answer,Related Products,Last Updated
101,Shipping,How long does standard shipping take?,"Standard shipping typically takes 3-5 business days for domestic orders. For rural areas, please allow up to 7 business days. International shipping varies by customs processing but generally takes 10-15 business days.",All,2023-10-01
102,Returns,What is the return policy for electronics?,Electronics can be returned within 30 days of receipt. The item must be in original packaging with all accessories. A 15% restocking fee applies if the seal is broken.,"Laptops, Smartphones, Tablets",2023-09-15
103,Returns,Can I return clothing items?,Clothing items can be returned within 45 days if they are unworn and tags are attached. Intimate apparel and swimwear are final sale for hygiene reasons.,"T-Shirts, Jeans, Jackets",2023-09-15
104,Warranty,What does the extended warranty cover?,The extended warranty covers mechanical and electrical failures after the manufacturer's warranty expires. It includes accidental damage handling (drops and spills) for portable devices.,"Laptops, Tablets",2023-08-20
105,Payment,Do you accept cryptocurrency?,"Currently, we do not accept cryptocurrency directly. We accept Visa, Mastercard, PayPal, and Apple Pay.",All,2023-01-10
106,Shipping,Do you ship to PO Boxes?,"Yes, we ship to PO Boxes via USPS. However, expedited shipping (Overnight or 2-Day) is not available for PO Box addresses.",All,2023-02-05
107,Product Support,How do I reset my SmartHome Hub?,"To reset the SmartHome Hub, hold the small button on the back for 10 seconds until the LED flashes amber. This will restore factory settings.","SmartHome Hub v1, SmartHome Hub v2",2023-11-01
108,Product Support,Why is my bluetooth speaker not pairing?,"Ensure the speaker is in pairing mode (blue light blinking). If it fails, forget the device on your phone and try again. Interferences from other 2.4GHz devices can sometimes cause issues.","SoundBlast 300, SoundBlast Mini",2023-07-22
109,Account,How can I track my order?,"Once your order ships, you will receive an email with a tracking number. You can also log into 'My Account' -> 'Order History' to view real-time status.",All,2023-03-12
110,Returns,What happens if my item arrives damaged?,"If an item arrives damaged, contact support within 48 hours with photos of the box and item. We will ship a replacement immediately without waiting for the return.",All,2023-04-01
111,Promotions,Can I stack discount codes?,"No, only one discount code can be applied per order. However, discount codes can be used on items that are already on sale (marked down price).",All,2023-11-20
112,Sustainability,Is your packaging recyclable?,"Yes, 90% of our packaging is made from recycled cardboard. We use biodegradable packing peanuts made from cornstarch.",All,2023-06-30
113,Membership,What are the benefits of Premium Membership?,"Premium members get free 2-day shipping on all orders, early access to flash sales, and a dedicated support line. Cost is $99/year.",All,2023-01-01
114,Product Support,My coffee maker is leaking water.,"Check the water reservoir seal. If the rubber gasket is cracked, it needs replacement. Also ensure the carafe is properly aligned under the drip nozzle.",BrewMaster 5000,2023-10-05
115,Refunds,How long do refunds take to process?,Refunds are processed within 24 hours of receiving the return. It may take 3-5 business days for the funds to appear on your credit card statement depending on your bank.,All,2023-02-14
